userid,exid,level,totalScore,score,date,no_of_attempts
Amit.Scholar@gmail.com,CBO1,1,10,10,26-09-2022,1
Amit.Scholar@gmail.com,CBO2,1,10,10,27-09-2022,1
Amit.Scholar@gmail.com,CBO3,1,10,10,28-09-2022,1
Amit.Scholar@gmail.com,CBO4,1,10,10,29-09-2022,1
Amit.Scholar@gmail.com,CBO5,1,10,10,30-09-2022,1
Amit.Scholar@gmail.com,CBO6,1,10,10,01-10-2022,1
Amit.Scholar@gmail.com,CBO7,1,10,10,02-10-2022,1
Amit.Scholar@gmail.com,CBO8,1,10,10,03-10-2022,1
Amit.Scholar@gmail.com,CBO9,1,10,10,04-10-2022,1
Amit.Scholar@gmail.com,CBO10,1,10,10,05-10-2022,1
Amit.Scholar@gmail.com,CDCI7,2,20,16,06-10-2022,1
Amit.Scholar@gmail.com,CBP9,2,20,16,07-10-2022,1
Amit.Scholar@gmail.com,CDCIE20,2,20,16,08-10-2022,1
Amit.Scholar@gmail.com,CDCC4,2,20,16,09-10-2022,1
Amit.Scholar@gmail.com,CBO14,2,20,16,10-10-2022,1
Amit.Scholar@gmail.com,CBTV9,2,20,16,11-10-2022,1
Amit.Scholar@gmail.com,CBTV10,2,20,16,12-10-2022,1
Amit.Scholar@gmail.com,CAAI1,2,20,20,13-10-2022,2
Amit.Scholar@gmail.com,CBO11,2,20,20,14-10-2022,2
Amit.Scholar@gmail.com,CBP6,2,20,16,15-10-2022,1
Amit.Scholar@gmail.com,CBTV12,2,20,20,16-10-2022,2
Amit.Scholar@gmail.com,CBO17,2,20,20,17-10-2022,2
Amit.Scholar@gmail.com,CBO19,2,20,16,18-10-2022,1
Amit.Scholar@gmail.com,CBO12,2,20,16,19-10-2022,1
Amit.Scholar@gmail.com,CDCIE7,2,20,20,20-10-2022,2
Amit.Scholar@gmail.com,CBTV13,2,20,20,21-10-2022,2
Amit.Scholar@gmail.com,CBTV16,2,20,16,22-10-2022,1
Amit.Scholar@gmail.com,CDCI9,2,20,16,23-10-2022,1
Amit.Scholar@gmail.com,CBP1,2,20,16,24-10-2022,1
Amit.Scholar@gmail.com,CDCC5,2,20,20,25-10-2022,2
Amit.Scholar@gmail.com,CDCI18,2,20,20,26-10-2022,2
Amit.Scholar@gmail.com,CDCI11,2,20,16,27-10-2022,1
Amit.Scholar@gmail.com,CBTV2,2,20,16,28-10-2022,1
Amit.Scholar@gmail.com,CDCI16,2,20,20,29-10-2022,2
Amit.Scholar@gmail.com,CDCIE16,2,20,16,30-10-2022,1
Amit.Scholar@gmail.com,CDCI13,2,20,20,31-10-2022,2
Amit.Scholar@gmail.com,CBP5,2,20,16,01-11-2022,1
Amit.Scholar@gmail.com,CAAI5,2,20,20,02-11-2022,2
Amit.Scholar@gmail.com,CBO13,2,20,20,03-11-2022,2
Amit.Scholar@gmail.com,CBO28,2,20,16,04-11-2022,1
Amit.Scholar@gmail.com,CDCIE2,2,20,20,05-11-2022,2
Amit.Scholar@gmail.com,CDCI10,2,20,16,06-11-2022,1
Amit.Scholar@gmail.com,CBO24,2,20,16,07-11-2022,1
Amit.Scholar@gmail.com,CDCC3,2,20,16,08-11-2022,1
Amit.Scholar@gmail.com,CDCIE11,2,20,20,09-11-2022,2
Amit.Scholar@gmail.com,CDCI6,2,20,16,10-11-2022,1
Amit.Scholar@gmail.com,CDCIE15,2,20,20,11-11-2022,2
Amit.Scholar@gmail.com,CBP3,2,20,16,12-11-2022,1
Amit.Scholar@gmail.com,CDCC7,2,20,16,13-11-2022,1
Amit.Scholar@gmail.com,CDCI17,2,20,20,14-11-2022,2
Amit.Scholar@gmail.com,CFSV3,3,30,30,15-11-2022,3
Amit.Scholar@gmail.com,CBO29,3,30,24,16-11-2022,1
Amit.Scholar@gmail.com,CDCIE3,3,30,30,17-11-2022,3
Amit.Scholar@gmail.com,CLCF2,3,30,30,18-11-2022,3
Amit.Scholar@gmail.com,CDCIE14,3,30,24,19-11-2022,1
Amit.Scholar@gmail.com,CBP12,3,30,30,20-11-2022,3
Amit.Scholar@gmail.com,CBTV8,3,30,24,21-11-2022,1
Amit.Scholar@gmail.com,CDCI14,3,30,27,22-11-2022,2
Amit.Scholar@gmail.com,CBTC6,3,30,27,23-11-2022,2
Amit.Scholar@gmail.com,CDCC12,3,30,27,24-11-2022,2
Amit.Scholar@gmail.com,CDCIE5,3,30,30,25-11-2022,3
Amit.Scholar@gmail.com,CAAI2,3,30,30,26-11-2022,3
Amit.Scholar@gmail.com,CAAI4,3,30,24,27-11-2022,1
Amit.Scholar@gmail.com,CDCIE23,3,30,24,28-11-2022,1
Amit.Scholar@gmail.com,CDCC11,3,30,30,29-11-2022,3
Amit.Scholar@gmail.com,CDCC13,3,30,27,30-11-2022,2
Amit.Scholar@gmail.com,CBTC2,3,30,24,01-12-2022,1
Amit.Scholar@gmail.com,CBTC4,3,30,30,02-12-2022,3
Amit.Scholar@gmail.com,CAAI3,3,30,30,03-12-2022,3
Amit.Scholar@gmail.com,CBTV7,3,30,30,04-12-2022,3
Amit.Scholar@gmail.com,CDCS4,4,40,40,05-12-2022,3
Amit.Scholar@gmail.com,CDCS13,4,40,32,06-12-2022,2
Amit.Scholar@gmail.com,CDCC20,4,40,28,07-12-2022,1
Amit.Scholar@gmail.com,CBTC8,4,40,28,08-12-2022,1
Amit.Scholar@gmail.com,CDCS8,4,40,40,09-12-2022,3
Amit.Scholar@gmail.com,CDCS6,4,40,28,10-12-2022,1
Amit.Scholar@gmail.com,CDCS9,4,40,40,11-12-2022,3
Amit.Scholar@gmail.com,CDCC16,4,40,28,12-12-2022,1
Amit.Scholar@gmail.com,CAAI7,4,40,32,13-12-2022,2
Amit.Scholar@gmail.com,CDCC21,4,40,32,14-12-2022,2
Isha.Intermediate@gmail.com,CBO1,1,10,9,26-09-2022,1
Isha.Intermediate@gmail.com,CBO2,1,10,9,27-09-2022,1
Isha.Intermediate@gmail.com,CBO3,1,10,9,28-09-2022,1
Isha.Intermediate@gmail.com,CBO4,1,10,10,29-09-2022,2
